sentiment,text,user,,
positive,"People who jugde others on CASTE, FAITH, NATIONALITY, POOR/RICH BLACK/WHITE are the WORST people down on earth.",nnaibBinTariq,,
negative,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",loupierri,,
negative,"RT @Politis_fr: À lire : «La Caste», de @LaurentMauduit (@Ed_LaDecouverte), autrement dit la haute fonction publique, où «grâce aux pantouf…",Ed_LaDecouverte,,
positive,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",MyBoyMadMax2019,,
neutral,@iam_thalapathy Caste 😂\n\nBike racer 😂,Vijay74164305,,
positive,"RT @the_hindu: “I can’t live without him, but I will, for my baby, and to fight against the caste system. No one should experience this pai…",_Melodrama_,,
neutral,RT @TRBRajaa: With his voice against caste system he spoke for almost all of India.\nWith his voice for #women he spoke for HALF THE WORLD !…,AjasLily,,
positive,"RT @devduttmyth: Despite their obvious dark side, u are allowed to speak about the positive aspects of Communism, Capitalism, Religion....b…",abcense,,
negative,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,Rajendar7676,,
positive,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,Jeannie_Hartley,,
negative,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,AfroStateOfMind,,
neutral,かわいいんじゃ https://t.co/hTkibLjz1h,caste_lowest,,
neutral,"RT @Navayan: Pranay, SC Mala, so called untouchable man and Amrutha a vyshya, so-called upper caste woman loved and married. Maruthi Rao, K…",_Melodrama_,,
neutral,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,V6Oliva,,
positive,"@leoxymoron @AlexisBraud Humour !\nEt puisque j'ai votre  attention, très belle émission hier sur le sujet (Les vert… https://t.co/5y2luJETc8",LeFilsDeStGarp,,
negative,@Shravan37184651 @HeroManoj1 On bull's eye bro.. Exactly.. Caste anedhi worst case but clear ga thelusthundi idhi s… https://t.co/ASeGH2zGPm,ChantiCognizant,,
neutral,@NewsFinance_fr Parfaitement! Vous êtes un média? On n'a pas le droit de critiquer votre caste? Vous êtes si intouc… https://t.co/sxadewspPU,adia66,,
negative,RT @scribe_it: During interrogation Amruthas father says \n“I am more concerned about my status in the society than my daughter. I am not wo…,_Melodrama_,,
neutral,caste topic ni parents topic medhaku diversion enduku bhayya 🙏🙏🙏🙏🙏 https://t.co/KvqYLQfgpI,ramusagar4NTR,,
positive,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,HarishHMavericK,,
neutral,"@vivek17b yes, the argument was that she had tried to speak over the words of ambedkar in annilation of caste and I… https://t.co/CvMDBJjEWK",soupykaur,,
negative,(Aujourd'hui on sera tous d'accord pour dire que j'ai pas casté le spirit suffisamment fort hein),LaurianeIpsum,,
neutral,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,LudovicSpeaks,,
neutral,RT @Freeindiansoul: RSS was in the quit India movement  difference being it was on the side of the British Empire\nTheir role was of informe…,moin_naz,,
neutral,"RT @MahilaCongress: Our heartfelt tributes to E.V. Ramasamy, a great social reformer, activist and politician, on his birth anniversary. Po…",s_prasant2001,,
neutral,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",Ray_Sims77,,
positive,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,Mahendra_Tweetz,,
positive,@AzmiShabana @SRKFC1 @iamsrk Not only maharashtrians..\nGaneshji is God So Anyone can enjoy the festival ... It's no… https://t.co/sdD4fXQH6S,harsshshah9,,
negative,RT @scribe_it: Hey national channels - you held many prime time debates on “misuse” Sc ST act.\nNow after Telangana Dalit murder you’ve gone…,amit_155,,
positive,my family life could literally be the plot of a desi drama .. so nuanced so beautiful yet so tropey. social aspect… https://t.co/NHZROqAbWI,somuchmohabbat,,
positive,RT @PoMoGandhi: But this is not true Mr Bhagwat. @RSSorg appointees in MHRD are making sure visas are denied to foreign students who want t…,wrldrulerz,,
positive,Necesito un estomago nuevo https://t.co/R7tdaCHOpt,Caste_Alan,,
positive,RT @sampadscales: I only see that one leader who isn’t concerned about the caste or money &amp; dedicatedly working for my country’s economy an…,Kuhoo2014,,
neutral,"The 21st century may bring a new caste system, split into a plutocratic AI elite and the powerless struggling masse… https://t.co/QmE32BSYAM",TheHelenWang,,
neutral,RT @kimmaytube: Read this and get all into your feelings.\n\nDescendants of slaves to kingdoms IN west Africa are considered the *bottom* TOD…,meowwcydnee,,
negative,"@devduttmyth I respected you till now,read you version of geeta too.But jotting down positives of caste system will… https://t.co/un5Uqagm7l",Logical76659057,,
neutral,"RT @MaximeBernier: Heureux d’être de retour au Parlement non seulement en tant que député de Beauce, mais pour donner une voix aux Canadien…",SASgrafix,,
negative,He is not a father anymore; he is a criminal. He won't mind killing his own daughter as well.\n\nCaste system can tur… https://t.co/1ley6UdslG,TheNewAgeIndian,,
neutral,"Love is the most beautiful thing that can consume us. Be it your father, your caste or even whole of the human race… https://t.co/QemCQRMeq0",KaliGospel,,
positive,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",SolarPowerEng,,
positive,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",bill_8856,,
positive,"RT @devduttmyth: Despite their obvious dark side, u are allowed to speak about the positive aspects of Communism, Capitalism, Religion....b…",fed_esha95,,
positive,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",bandit301,,
positive,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,alikhanrandy143,,
positive,"RT @Politis_fr: À lire : «La Caste», de @LaurentMauduit (@Ed_LaDecouverte), autrement dit la haute fonction publique, où «grâce aux pantouf…",JLacassagne,,
negative,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,IAmChey_D,,
neutral,RT @BenNeethipudi: Intercaste marriage is not annihilation of caste when death is the price to be paid by Dalits. Intercaste relationship i…,shashikanth171,,
neutral,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,webreakchains15,,
neutral,i went to a preppy private catholic hs in dc and i wish i could say i was surprised that this caste of rich entitle… https://t.co/jUh38uim5R,sloppityboppity,,
neutral,Wowww.. Bringing in caste to diss a movie..! https://t.co/jaQVFnMJlr,yourstrulyAbhi,,
positive,"RT @MaximeBernier: Heureux d’être de retour au Parlement non seulement en tant que député de Beauce, mais pour donner une voix aux Canadien…",nativekittens,,
neutral,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",MichelB71604563,,
neutral,@sriharshatumati @VamshiPandu1 @Shiva4Ntr @RaoGopalaRao_ @iambharatt Nenu ekkada Reservations kosam matladaledhu du… https://t.co/Hl8QKNls1y,Pradeep59797013,,
positive,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",nativekittens,,
neutral,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,Ravikar43968388,,
positive,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,KambamSanjay,,
negative,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,AaronTDotson,,
negative,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",nowhere192,,
neutral,RT @sampadscales: I only see that one leader who isn’t concerned about the caste or money &amp; dedicatedly working for my country’s economy an…,madhavi_writes,,
positive,RT @Navayan: An exclusive brahmin community real estate venture. For members of Brahmin community only.\n\nYeah yeah. There's no caste in Ind…,O_edipus,,
neutral,"Until, Indian society is going to behave in a mature manner, it's dangerous for Dalit boys to date Hindu/Muslim/Sik… https://t.co/c43MGiaVYp",TheNewAgeIndian,,
positive,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,muhdee2009,,
negative,"RT @gunjakapoor: Back from #Ujjain:\nThe upper caste anger is palpable on ground. While @INCIndia doesn't have a cadre, the incumbent @BJP4I…",RW_Athiest,,
neutral,RT @Bpro_info: 【NEWS】B-PROJECT『KING of CASTE 〜Sneaking Shadow〜 』\n雪広うたこ氏撮り下ろしビジュアルを公開しました。そして特設サイトも本日OPEN!!\nさらにAGF2018への出展も決定！\nhttps://t.co/…,Marrrrrinrin,,
negative,"While we watched and was shocked by the bloody footsteps of that baby girl, it was and has been going on in our rea… https://t.co/UP7wkzVKCu",VinnyKV,,
neutral,RT @Fleek_Mag: #Miedo es el nombre que recibe la nueva pieza visual lanzada por @Caste93 desde su canal @VEVO_ESP. @outerspaceprod firma la…,outerspaceprod,,
negative,"RT @taruns_: Pelli ki caste addu raakudadu antunnaru , Mari jobs/education ki reservation(caste) enduku ??\n\nNote : Im not Supporting any ca…",telugabbay,,
neutral,@Le_Figaro Les discours de vérité  de macron font scandales par contres les journalistes ont le droit d'etre injuri… https://t.co/clDfwQi8QC,DominiqueLocas1,,
negative,Elite left liberals pontificate to Hindus about 'caste' &amp; 'Brahmin monopoly' yet practice a caste system of their o… https://t.co/6fsrBOltBI,Kalbhoja,,
neutral,暑いんじゃ,caste_lowest,,
neutral,"RT @AnaMyID: Pranay a Telangana Dalit Christian belonging to an 'untouchable' caste fell in love with Amrutha an UC vaishya, married her 3…",mukarram3,,
neutral,RT @dharmvirjangra9: @Ramesh_BJP @narendramodi @PMOIndia @AmitShah @ktraghavan @RajKSinghIndia @nsitharamanoffc @vanitajain21 @BJP4TamilNad…,PidiBuster,,
positive,RT @Vishesh4: This is exactly how the black money too was 'swept' during demonetization. After trying hard through the available instrument…,sureshn73698201,,
neutral,"@Swamy39 @ArunSFan Bankers failed demonetization,and Modi Govt has not taken any action against errant bankers.",shyamvishnu,,
positive,"RT @PournimaKatkar: Dear Mr. Prime Minister, How much black money has been recovered after Demonetization?-@NCPspeaks @Jayant_R_Patil @supr…",GaneshMurhe2,,
negative,"@TVMohandasPai After reading their horrendous English, how can you be so sure of their evaluation? \n\nP.S. I am not… https://t.co/DUkgWmdimq",nabajatak1996,,
negative,RT @NafeesZayed: #ThugsOfHindostan is an ideal tribute to Demonetization. Incidentally it is releasing on the same day 8th Nov.,spot_boyy,,
positive,RT @roshan_williams: @TVMohandasPai Only JOKE was the one played by #Modisarkar on the people of India. Between #demonetization #GSTimpleme…,philipose_sam,,
positive,"RT @pjkumar2008: #KickEvm_BringBallot Demonetization, Rafale, Aadhar r some of the biggest scams but the general public is blissfully unawa…",shunty70,,
neutral,"@GappistanRadio shows the power of leader ! demonetization , now this people are just defending him. Could be they… https://t.co/ftkbBkzj3g",DrupadShastri,,
positive,"RT @pjkumar2008: #KickEvm_BringBallot Demonetization, Rafale, Aadhar r some of the biggest scams but the general public is blissfully unawa…",nilofar31,,
neutral,"RT @devalgp: He has made India an emerging giant by bringing the concept of digitalization, DBTs, application services, one window concepts…",AakashGauttam,,
positive,RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…,manishupreti9,,
neutral,"RT @swamisaranamm: #Demonetization \n👉 Black Money:No proof available with government,how much money a single Indian has.\n👉 Scrapped old 500…",swamisaranamm,,
neutral,"RT @pjkumar2008: #KickEvm_BringBallot Demonetization, Rafale, Aadhar r some of the biggest scams but the general public is blissfully unawa…",creativedream16,,
positive,RT @God_Conundrum: @dna Who will account for the 100s of people (muslims/dalits) lynched across India by your sanghi monkeys?\nAnd who will…,philipose_sam,,
positive,RT @ShaikhNabi1: @dna Demonetization?,philipose_sam,,
neutral,@ENS_ULM underlying causes-American post-Civil War inflation\n-rampant speculative investments(overwhelmingly in rai… https://t.co/Fo9jCscXKK,sunparagon,,
neutral,RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…,ngc1729,,
positive,@PMOIndia @narendramodi How do u learned Skill of Failed demonetization skim,parth_anavadia,,
neutral,RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…,sarpamedha,,
negative,RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…,Renu_Adhana,,
neutral,RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…,Candolime,,
neutral,"@SaffronWatch Demonetization bomb?  Gst bomb ?? Cow lynching bomb??? Rafael bomb???? Petrol, diesel, lpg gas bomb????? .........enough",jai1976kumar,,
neutral,RT @top_gun55: @RahulGandhi Incidents of lynching in India were due to anger emanating from joblessness and “destruction” of small business…,3shukla,,
negative,"@aajtak Bhakton,  aankhein khuli ki nahin ??? Bas, vote dete rehna, nahin toh yaad rakhna, demonetization time ka",ranjit_sahoo,,
negative,@ANI loss of JOBs\n\nDemonetization &amp; NPA f**ked Indian Economy,BeVoterNotFan,,
neutral,"RT @CallMeKevin1811: @LoganPaul My Neurax Worm, called Demonetization just lost the Crippling Depression scenario in Plague Inc.",snyderesque,,
neutral,RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…,sumanthjain,,
neutral,"Finally, the main reason behind DEMONETIZATION   is out now https://t.co/2VGUhTgAz8",rajivranjan926,,
neutral,"RT @tarunagra1984: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/mFtQslGkoF\n#TV9News https:…",Minku49348899,,
negative,"RT @tarunagra1984: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/mFtQslGkoF\n#TV9News https:…",puriyash41,,
negative,"RT @tarunagra1984: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/mFtQslGkoF\n#TV9News https:…",Tapan_999,,
negative,"-6th November 2011.\n\nIn 2016, we prophesized difficult times, for both the Birthday Boys as Shri Narendra Modi was… https://t.co/mdNrB5z0XV",sanjaybjumaani,,
negative,"Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/mFtQslGkoF\n#TV9News https://t.co/tgOFFCegt0",tarunagra1984,,
negative,"RT @tv9gujarati: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/jglfMu4z5L\n#TV9News https://…",tarunagra1984,,
negative,"He is often called Chowkidaar, Bhaagidar, people were unhappy when Demonetization &amp; GST were brought in. He is accu… https://t.co/XImRhWkSv0",dreamkid85,,
negative,RT @gaganbakana: Who is pappu..\nOn world stage a person says 600 crore voters in india..\nMaking tea from fuel direct from gutter gas.\nChang…,SohanSi02561092,,
negative,"RT @AisiTaisiDemo: \Mallya ko bhagaane se pahle bataaya kyon nahin?\""\n\n\""Aapne demonetization se pahle bataaya tha?\"" https://t.co/VSc3kVtxFe""",aswiniray,,
positive,RT @gaganbakana: Mr @arunjaitley if demonetization leaded more tax then why you are looting indians pocket by increasing everything from fu…,SohanSi02561092,,
neutral,"RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \Sri Narendra Modi Ji'' on his bday by releasing his biopi…""",Debiprasd,,
positive,RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…,FAshugains,,
neutral,How Demonetization Affected Travelers From Around The World https://t.co/etHzYKwzwu #lifehacks,gauravcam,,
neutral,"RT @devalgp: He has made India an emerging giant by bringing the concept of digitalization, DBTs, application services, one window concepts…",ksevak,,
neutral,"RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \Sri Narendra Modi Ji'' on his bday by releasing his biopi…""",Nani77265910,,
neutral,"RT @suniljha899: जिनकी फटी वे रो रहे हैं ।।\n#नैतिक_मूल्य \nफ़्लॉप नहीं, हिट हुई है नोटबन्दी - \n@anilpusadkar @nagendrapathak @barotchetan99…",babyparamjeet,,
neutral,RT @AB_BJP: SwachhBharat\nके\nJanDhan\nमें\nMudra\nका मिलनकर\nMakeInIndia\nके जरिये\nAccheDin\nआनेलगे तब कालेधन पर Demonetization\nकी लातके साथही\nSur…,SureshK65221545,,
neutral,RT @victor_vijeet: Baba is so cunning &amp; clever he won't say  that GST &amp; demonetization have left economy in doldrum. He has pocketed subsid…,TheAnita_K,,
neutral,"RT @tv9gujarati: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/jglfMu4z5L\n#TV9News https://…",URSH93,,
positive,@advmajeedmemon Basic question... irrespective of price of the petrol and diesel why prices of all other commoditie… https://t.co/2NA7yxoi36,RRnirav,,
negative,"RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \Sri Narendra Modi Ji'' on his bday by releasing his biopi…""",vijay_thug,,
negative,"Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/jglfMu4z5L\n#TV9News https://t.co/S5IcQQzTMF",tv9gujarati,,
neutral,"RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \Sri Narendra Modi Ji'' on his bday by releasing his biopi…""",imsaurav55,,
negative,@PMOIndia @narendramodi #demonetization  \n#RafaleScam  \n#bahuthuimahangaikimaar   \n#JabJaitleyMetMallya… https://t.co/d7ZkXYo6qd,CorruptIndian2,,
neutral,"RT @devalgp: He has made India an emerging giant by bringing the concept of digitalization, DBTs, application services, one window concepts…",BChaudhary10dec,,
neutral,RT @top_gun55: @RahulGandhi Incidents of lynching in India were due to anger emanating from joblessness and “destruction” of small business…,GeorgekurianINC,,
neutral,RT @AB_BJP: SwachhBharat\nके\nJanDhan\nमें\nMudra\nका मिलनकर\nMakeInIndia\nके जरिये\nAccheDin\nआनेलगे तब कालेधन पर Demonetization\nकी लातके साथही\nSur…,tmpaton1,,
negative,RT @AB_BJP: SwachhBharat\nके\nJanDhan\nमें\nMudra\nका मिलनकर\nMakeInIndia\nके जरिये\nAccheDin\nआनेलगे तब कालेधन पर Demonetization\nकी लातके साथही\nSur…,JPrabaker,,
neutral,"What about #Demonetization, #GST, #RafaleDeal, #MallyaGate???!!! https://t.co/oRMqsKRP28",jawadtweets,,
neutral,RT @victor_vijeet: Baba is so cunning &amp; clever he won't say  that GST &amp; demonetization have left economy in doldrum. He has pocketed subsid…,pathan_modassar,,
neutral,RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…,vijayshirvalkar,,
positive,@Nidhi #demonetization \n#RafaleScam \n#bahuthuimahangaikimaar  \n#JabJaitleyMetMallya  \n#BetiBachaoFailed… https://t.co/1eHVplSPsz,CorruptIndian2,,
neutral,RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…,R0B1NYJ,,
neutral,"RT @PremCharaNN: MD Tho First 50c,60c,70c Ichina\n\nNew Drctr Tho Racha Lanti Disaster Talk Mve Tho 1st Day,1stWeek Kotti  AllTym Top3 Petina…",rchinta_pspk,,
neutral,RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…,MMadhukar1978,,
positive,RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…,Fakeliberal001,,
neutral,RT @PrashantxMishra: Demonetization: Failed  ❌\nGST: Failed  ❌\nPetrol Price: Failed ❌\nCorruption: Failed  ❌\nRupee: Failed  ❌\nJobs: Failed  ❌…,Subhashitani1,,
neutral,RT @PrashantxMishra: Demonetization: Failed  ❌\nGST: Failed  ❌\nPetrol Price: Failed ❌\nCorruption: Failed  ❌\nRupee: Failed  ❌\nJobs: Failed  ❌…,bhakt2019,,
negative,Baba is so cunning &amp; clever he won't say  that GST &amp; demonetization have left economy in doldrum. He has pocketed s… https://t.co/E4raU143Yh,victor_vijeet,,
negative,RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…,paaruni,,
positive,RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…,rockybolbia,,
neutral,"RT @_vasireddy: There are no \their facts\"" and \""our facts\"". Fact is Demonetization is a failure w.r.t. the stated objectives. https://t.co/…""",aravindgogineni,,
neutral,RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…,karnvahi,,
negative,RT @India_Policy: Why I'll vote for Modi in 2019 6/n\n-Formalization of economy thru Demonetization and GST; squeezing out black money\n-Init…,NicksGAR11,,
neutral,RT @AB_BJP: SwachhBharat\nके\nJanDhan\nमें\nMudra\nका मिलनकर\nMakeInIndia\nके जरिये\nAccheDin\nआनेलगे तब कालेधन पर Demonetization\nकी लातके साथही\nSur…,Tv15676764,,
negative,RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…,DomMeinrad,,
neutral,@narendramodi - Happy birthday sir 💐💐💐💐🎂\nWishing you many many happy returns of the day to do cleaner &amp; greener ind… https://t.co/dE5Jb8YaDq,AnasingarajuM,,
neutral,RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…,amethi_voter,,
positive,RT @India_Policy: Why I'll vote for Modi in 2019 6/n\n-Formalization of economy thru Demonetization and GST; squeezing out black money\n-Init…,dubbak_ramesh,,
neutral,RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…,KING_OF_TROLL_,,
negative,Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2… https://t.co/hRxl8tS91a,Humorist_Joker,,
neutral,@KPadmaRani1 @ANI Actually DEMO for the common ppl! It would be stupid to think that #NaMo Cronies shall be affected with Demonetization!,anup071254,,
neutral,@narendramodi - Happy birthday sir... Wishing you many many happy returns of the day...💐💐💐💐🎂💐💐💐💐\nWe have done a sma… https://t.co/wQC0SlIVRd,AnasingarajuM,,
negative,"RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \Sri Narendra Modi Ji'' on his bday by releasing his biopi…""",AamirTrends,,
positive,"RT @PragmaticN: @Swamy39 I am sorry but now U r risking your credibility, Sir; these explanations offered on behalf of Modi appear like lam…",iconoklastik,,
neutral,"He has made India an emerging giant by bringing the concept of digitalization, DBTs, application services, one wind… https://t.co/XJaNmG4MkV",devalgp,,
negative,RT @UPSCIASEXAMS: RBI Report on Demonetization in Hindi | Report of RBI on Demonetization | KARDAM RAVAL: https://t.co/TosVbqy6Fj via @YouT…,Sak_Shivam_U,,
neutral,"@wm_mmgi @AnupamPKher @narendramodi 👍 We pray that, at least his future decisions should be successful, unlike his… https://t.co/yfkZFpZyy9",JioInst_Eminent,,
neutral,Indian Demonetization Failed Even to Create a Savings Culture - Bloomberg https://t.co/GR9epkxW0x @Swamy39,SwamyChronicle,,
positive,The data on the false claim on substantial growth on direct tax collection and number of people in tax net thanks t… https://t.co/WlRspSHFcq,MOOC5,,
negative,RBI Report on Demonetization in Hindi | Report of RBI on Demonetization | KARDAM RAVAL: https://t.co/TosVbqy6Fj via @YouTube,UPSCIASEXAMS,,
negative,@dna Demonetization?,ShaikhNabi1,,
neutral,"RT @CallMeKevin1811: @LoganPaul My Neurax Worm, called Demonetization just lost the Crippling Depression scenario in Plague Inc.",itsmichael_here,,
neutral,RT @Vishesh4: This is exactly how the black money too was 'swept' during demonetization. After trying hard through the available instrument…,dsmalik_inc,,
neutral,RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…,1975Raman,,
positive,RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…,animeshynr,,
neutral,RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…,NarayananPH,,
neutral,'നോട്ട് നിരോധനം അംബാനിയെയും അദാനിയെയും അറിയിച്ചിരുന്നു'; ബിജെപിയെ ഞെട്ടിച്ച് പാര്‍ട്ടി എംഎ https://t.co/Q36vK9aymu,VNAMPADY,,
neutral,"@MaheshJoshi_MJ @Swamy39 @jagdishshetty @vhsindia #Demonetization failed, #GST also failed, But economy is booming,… https://t.co/dkEfmfviW2",MihirJhaSG,,
neutral,RT @KoomarShah: Why Demonetization failed?\nBJP - Cos he is Pappu\n\nWhy No GDP Growth?\nBJP - Cos he is Pappu\n\nWhy No Jobs?\nBJP - Cos he is Pa…,ChetryDebi,,
negative,"@Abuchiha_7 @anant_d @Ibrahim_Adam5 @RightistSingh Read clearly before replying, we were discussing about Demonetiz… https://t.co/N38UVXg2hf",IAmShailendraP,,
negative,Lightning Knowledge Migration Tool not generating migration summary file https://t.co/Qkt2K4a1aX,jforcesf,,
positive,Lightning Knowledge Migration Tool stalls on Activation: Migrating Feeds and Smart Links https://t.co/9YbgUwXCvp,jforcesf,,
neutral,RT @IrexitFreedom: The bullying by the EU knows no borders. A country must have the right to control its own borders and migration policy.…,dollytrollpe,,
positive,RT @methusalix64: @ZDFheute Schon cool wie sich auf einmal die Umfragen zu Migration ins Positive schwenken \n\nIrgendwie habe ich das Gefühl…,AwayKlein,,
positive,"RT @10DowningStreet: PM @Theresa_May met PM @JosephMuscat_JM to discuss a range of issues including UK-Malta cooperation, migration and our…",ElizabethLorra6,,
positive,Clintons are insane anti USA traitors 2 freedom 2Constitution 2Veterans citizens GODGiven rights https://t.co/91d76veX6Y,JohnMark_IB,,
neutral,RT @V_of_Europe: Hungary is the only state in Europe to have asked the people’s opinion on illegal migration - Foreign Minister https://t.c…,codyjensen11,,
negative,RT @BenMacpherson: 👇An ICM poll has shown that 64% (nearly 2/3s) of Scots back immigration devolution for Scotland.👍 This supports proposal…,Sheilam19534814,,
negative,"RT @Andreas280872: @GtzFrmming Das wirklich schlimme daran ist, das die sich den Wahnsinn noch solange einreden, bis sie ihn selbst glaubt.…",EventyrJ,,
positive,RT @eysvog3l: \Menschen in 🇩🇪 beurteilen das Zusammenleben mit Zuwanderern insgesamt als weiter positiv," stellt  Bauer fest. B. ist der Vor…""",,
